bps_kode_provinsi,bps_nama_provinsi,tahun,bulan,tingkat_inflasi_bulanan,satuan
11,Aceh,2014,Januari,1.85,Persen
11,Aceh,2014,Februari,-0.45,Persen
11,Aceh,2014,Maret,-0.52,Persen
11,Aceh,2014,April,-0.15,Persen
11,Aceh,2014,Mei,0.86,Persen
11,Aceh,2014,Juni,0.4,Persen
11,Aceh,2014,Juli,1.23,Persen
11,Aceh,2014,Agustus,0.06,Persen
11,Aceh,2014,September,0.47,Persen
11,Aceh,2014,Oktober,0.38,Persen
11,Aceh,2014,November,0.2635294117647059,Persen
11,Aceh,2014,Desember,2.19,Persen
11,Aceh,2015,Januari,0.1,Persen
11,Aceh,2015,Februari,-0.9,Persen
11,Aceh,2015,Maret,-0.61,Persen
11,Aceh,2015,April,0.08,Persen
11,Aceh,2015,Mei,0.51,Persen
11,Aceh,2015,Juni,1.2,Persen
11,Aceh,2015,Juli,0.61,Persen
11,Aceh,2015,Agustus,-0.22,Persen
11,Aceh,2015,September,-0.36,Persen
11,Aceh,2015,Oktober,0.1,Persen
11,Aceh,2015,November,0.23,Persen
11,Aceh,2015,Desember,0.54,Persen
11,Aceh,2016,Januari,0.61,Persen
11,Aceh,2016,Februari,0.02,Persen
11,Aceh,2016,Maret,-0.26,Persen
11,Aceh,2016,April,-1.09,Persen
11,Aceh,2016,Mei,0.73,Persen
11,Aceh,2016,Juni,1.1,Persen
11,Aceh,2016,Juli,0.73,Persen
11,Aceh,2016,Agustus,-0.35,Persen
11,Aceh,2016,September,0.78,Persen
11,Aceh,2016,Oktober,-0.02,Persen
11,Aceh,2016,November,0.15,Persen
11,Aceh,2016,Desember,0.71,Persen
11,Aceh,2017,Januari,0.28,Persen
11,Aceh,2017,Februari,-0.08,Persen
11,Aceh,2017,Maret,-0.51,Persen
11,Aceh,2017,April,-0.33,Persen
11,Aceh,2017,Mei,0.77,Persen
11,Aceh,2017,Juni,0.79,Persen
11,Aceh,2017,Juli,0.29,Persen
11,Aceh,2017,Agustus,0.6,Persen
11,Aceh,2017,September,0.45,Persen
11,Aceh,2017,Oktober,0.16,Persen
11,Aceh,2017,November,0.38,Persen
11,Aceh,2017,Desember,1.26,Persen
11,Aceh,2018,Januari,-0.11,Persen
11,Aceh,2018,Februari,-0.31,Persen
11,Aceh,2018,Maret,-0.09,Persen
11,Aceh,2018,April,-0.26,Persen
11,Aceh,2018,Mei,0.69,Persen
11,Aceh,2018,Juni,0.84,Persen
11,Aceh,2018,Juli,0.24,Persen
11,Aceh,2018,Agustus,0.26,Persen
11,Aceh,2018,September,-0.74,Persen
11,Aceh,2018,Oktober,0.32,Persen
11,Aceh,2018,November,0.62,Persen
11,Aceh,2018,Desember,0.38,Persen
11,Aceh,2019,Januari,0.4,Persen
11,Aceh,2019,Februari,-0.6,Persen
11,Aceh,2019,Maret,-0.34,Persen
11,Aceh,2019,April,0.42,Persen
11,Aceh,2019,Mei,1.27,Persen
11,Aceh,2019,Juni,0.47,Persen
11,Aceh,2019,Juli,-0.04,Persen
11,Aceh,2019,Agustus,-0.1,Persen
11,Aceh,2019,September,-0.32,Persen
11,Aceh,2019,Oktober,0.22,Persen
11,Aceh,2019,November,-0.12,Persen
11,Aceh,2019,Desember,0.42,Persen
11,Aceh,2020,Januari,0.66,Persen
11,Aceh,2020,Februari,0.44,Persen
11,Aceh,2020,Maret,0.6,Persen
11,Aceh,2020,April,-0.15,Persen
11,Aceh,2020,Mei,0.26,Persen
11,Aceh,2020,Juni,-0.15,Persen
11,Aceh,2020,Juli,-0.31,Persen
11,Aceh,2020,Agustus,0.46,Persen
11,Aceh,2020,September,-0.1,Persen
11,Aceh,2020,Oktober,0.66,Persen
11,Aceh,2020,November,0.19,Persen
11,Aceh,2020,Desember,0.99,Persen
11,Aceh,2021,Januari,0.79,Persen
11,Aceh,2021,Februari,-0.65,Persen
11,Aceh,2021,Maret,-0.37,Persen
11,Aceh,2021,April,0.51,Persen
11,Aceh,2021,Mei,0.25,Persen
11,Aceh,2021,Juni,-0.06,Persen
11,Aceh,2021,Juli,-0.07,Persen
11,Aceh,2021,Agustus,0.08,Persen
11,Aceh,2021,September,-0.2,Persen
11,Aceh,2021,Oktober,0.43,Persen
11,Aceh,2021,November,0.8,Persen
11,Aceh,2021,Desember,0.71,Persen
11,Aceh,2022,Januari,1.04,Persen
11,Aceh,2022,Februari,-0.6,Persen
11,Aceh,2022,Maret,0.68,Persen
11,Aceh,2022,April,1.23,Persen
11,Aceh,2022,Mei,1.0,Persen
11,Aceh,2022,Juni,0.75,Persen
11,Aceh,2022,Juli,0.86,Persen
11,Aceh,2022,Agustus,-0.51,Persen
11,Aceh,2022,September,0.77,Persen
11,Aceh,2022,Oktober,-0.25,Persen
11,Aceh,2022,November,-0.12,Persen
11,Aceh,2022,Desember,0.93,Persen
11,Aceh,2023,Januari,0.68,Persen
11,Aceh,2023,Februari,0.53,Persen
11,Aceh,2023,Maret,-0.51,Persen
11,Aceh,2023,April,-0.11,Persen
11,Aceh,2023,Mei,0.3,Persen
11,Aceh,2023,Juni,0.12,Persen
11,Aceh,2023,Juli,0.19,Persen
11,Aceh,2023,Agustus,-0.15,Persen
11,Aceh,2023,September,0.22,Persen
11,Aceh,2023,Oktober,-0.14,Persen
11,Aceh,2023,November,0.3,Persen
11,Aceh,2023,Desember,0.09,Persen
